,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1,4,3,2,2,4,1,3,1,1,3,4,3,4,3,4,3,1,4,2,3,2,1,4,4,3,2,4,3,2,2,1,1,3,4,1,4,4,2,3,1,4,3,2,1,4,2,4,3,4,4,1,2,2,2,1,3,1,3,3
1,4,3,2,4,2,2,4,2,1,2,4,1,2,1,3,2,2,1,3,3,4,2,1,4,3,3,1,2,4,4,2,4,4,2,4,2,1,3,3,1,4,1,4,1,4,4,4,3,2,3,2,4,3,2,3,3,1,1,1,1
2,2,3,3,2,4,3,1,4,3,3,3,3,1,3,4,2,3,1,2,2,4,1,2,2,4,4,1,1,4,1,4,2,4,2,2,3,1,3,3,4,4,3,2,2,2,4,2,1,2,1,1,1,4,3,3,2,3,1,4,3
3,4,1,2,3,2,2,1,2,1,2,3,3,3,2,4,1,2,1,2,4,2,4,2,3,2,2,4,4,2,4,2,3,4,2,3,2,1,1,2,4,1,2,3,1,3,2,4,3,3,1,2,4,1,4,2,3,3,2,2,3
4,1,3,1,3,3,1,4,2,4,1,1,2,1,2,3,1,3,1,1,3,4,1,2,4,4,3,2,2,3,3,2,1,1,4,2,2,2,4,1,1,2,2,3,2,2,4,1,3,3,2,4,2,4,2,3,3,4,2,2,1
5,2,4,1,4,3,1,2,3,2,1,3,3,1,2,1,3,3,3,4,4,2,1,3,4,4,1,1,1,1,3,3,2,2,4,2,4,4,2,1,4,3,2,3,3,4,2,4,4,1,1,3,1,2,2,4,4,1,4,1,3
6,4,4,1,4,1,3,2,2,1,4,2,3,2,2,4,1,3,3,2,2,1,4,4,1,1,1,1,4,4,1,3,1,2,3,3,4,1,1,2,2,4,4,2,4,2,3,2,1,4,1,1,1,2,1,1,3,4,1,2,3
7,4,3,4,3,2,1,4,4,1,3,1,3,4,1,2,1,3,4,1,2,4,2,1,2,3,3,2,4,3,2,4,4,2,1,3,3,1,3,4,1,3,1,3,2,1,4,1,3,1,4,3,4,2,2,3,4,4,1,3,1
8,2,4,2,4,2,1,2,3,4,3,4,4,4,3,2,2,1,2,4,2,1,3,4,4,2,2,3,1,2,1,4,3,4,4,4,1,4,1,2,3,2,1,1,4,2,2,4,1,4,4,3,1,1,2,3,1,2,1,3,1
9,3,1,1,1,4,1,2,3,3,3,4,2,4,2,4,3,3,4,4,4,3,1,2,1,4,1,1,1,3,3,4,2,2,1,1,2,4,3,4,1,1,4,1,1,2,4,3,1,4,4,4,4,1,4,2,4,3,4,3,3
10,3,4,3,1,4,3,2,3,4,4,4,2,4,2,3,3,1,2,1,1,2,2,1,2,3,1,2,2,3,2,3,2,2,2,1,3,1,2,4,4,3,4,4,2,4,2,2,3,4,4,2,3,1,4,3,3,4,3,1,2
11,1,3,1,1,3,3,3,4,4,1,4,3,3,1,3,3,3,1,3,4,3,1,4,4,1,4,2,3,2,4,4,4,4,4,1,2,3,3,1,1,3,3,1,1,1,3,1,3,2,2,3,3,3,4,4,4,3,2,1,3
12,1,4,4,1,4,1,3,1,2,3,3,2,4,4,1,3,3,2,3,4,4,4,3,2,4,2,3,2,2,1,4,1,1,4,3,2,3,2,1,3,1,3,4,4,2,4,3,2,1,2,3,4,1,3,4,4,2,1,2,4
13,4,3,1,1,2,3,1,3,3,1,1,2,3,4,2,2,4,2,2,2,1,2,3,4,3,4,3,1,2,4,1,4,3,2,4,4,1,1,3,4,1,3,1,3,3,1,3,4,4,1,1,1,2,1,4,4,4,1,1,4
14,2,3,4,1,1,1,1,1,4,3,4,4,4,1,2,4,1,1,3,4,4,4,1,4,4,3,4,4,2,1,2,1,1,1,3,3,3,3,3,3,1,4,2,1,4,3,1,1,1,2,1,3,3,4,3,3,3,1,1,3
15,1,1,1,4,2,3,2,1,2,1,4,1,2,4,3,2,3,4,2,3,4,3,2,1,1,4,3,2,2,3,3,3,2,3,2,4,1,1,2,3,3,2,4,2,1,1,4,1,4,2,1,2,3,2,4,3,2,3,4,2
16,1,2,4,1,4,3,3,2,4,1,2,2,2,2,1,1,1,3,2,3,3,3,3,3,3,3,3,2,1,4,2,3,1,2,3,3,3,2,4,3,4,3,3,4,1,4,4,3,3,3,2,4,1,2,3,4,2,2,1,1
17,1,1,4,4,4,1,1,2,3,2,2,1,3,2,1,3,4,1,2,4,3,4,2,2,3,1,1,3,3,1,3,2,3,4,1,4,2,4,2,2,4,3,1,3,4,2,4,3,2,1,3,1,4,3,2,1,3,1,2,4
18,4,4,4,3,1,4,4,4,3,1,3,2,4,2,2,1,4,4,1,2,2,2,4,1,2,1,1,4,4,1,3,1,1,2,1,2,4,3,3,2,1,1,2,1,4,4,4,3,3,3,2,3,4,4,3,1,3,2,3,3
19,4,2,4,4,2,2,3,4,3,4,2,3,2,4,2,3,1,4,2,2,3,2,4,3,3,1,1,2,4,4,3,3,2,1,1,2,2,1,2,1,3,4,3,2,2,2,1,3,3,1,2,2,1,3,3,3,3,4,4,3
20,4,2,4,4,3,4,3,3,2,4,3,4,2,4,1,1,3,3,4,2,3,3,4,3,2,4,1,4,1,2,4,3,4,3,3,2,1,1,2,1,3,4,4,2,4,4,4,2,2,4,1,2,1,4,3,1,1,3,3,4
21,2,4,2,4,1,1,1,2,4,1,2,1,4,3,4,3,3,4,1,4,3,3,2,4,2,1,4,1,1,3,1,4,2,1,4,3,2,3,3,1,4,2,3,4,3,3,2,1,2,4,3,2,4,4,4,2,3,3,2,2
22,1,2,3,4,4,1,3,1,3,2,2,3,2,4,3,4,3,2,4,2,3,1,1,3,1,4,4,3,3,3,1,2,2,4,1,2,2,1,1,2,1,1,2,1,3,1,2,2,4,3,4,2,2,2,4,4,4,4,3,3
23,4,2,2,4,2,1,3,2,4,4,2,3,4,3,1,3,3,3,1,2,4,1,2,2,1,1,2,4,1,2,1,3,2,4,3,4,3,2,4,2,4,4,3,3,2,4,3,4,2,4,2,1,1,3,2,1,2,3,2,4
24,4,3,4,2,1,1,4,4,3,1,2,1,1,1,3,1,4,2,2,3,4,2,1,1,4,1,3,2,4,1,4,3,2,1,4,2,2,2,1,2,1,1,2,1,2,4,1,1,1,3,2,2,1,2,2,2,3,4,2,4
25,3,2,1,2,3,1,4,2,4,3,2,1,3,2,1,4,2,1,2,2,4,3,1,1,3,1,2,1,1,4,1,1,4,1,4,1,1,1,3,3,2,1,1,3,1,3,3,4,2,1,2,4,3,3,2,1,4,4,4,4
26,2,2,1,4,3,2,4,3,4,4,1,2,3,4,1,2,3,4,1,3,2,1,3,2,3,2,4,1,4,1,3,2,2,1,3,1,3,3,4,3,2,3,4,2,1,4,1,3,1,1,4,1,3,3,1,1,4,3,1,4
27,2,1,4,1,3,4,3,3,2,1,3,4,1,4,2,3,1,3,1,2,3,1,2,3,1,2,2,3,4,4,1,1,1,3,1,1,4,4,4,2,3,3,1,3,3,2,4,3,3,3,4,3,2,4,3,4,1,2,4,3
28,4,1,1,4,2,3,2,2,4,1,4,4,3,2,1,3,2,1,2,4,2,1,3,1,4,4,4,4,1,1,2,2,4,3,3,4,3,2,2,3,1,3,3,3,3,4,4,3,2,1,4,4,3,4,4,4,3,1,1,1
29,2,3,2,1,1,4,4,2,4,3,4,4,3,2,3,2,2,3,3,3,2,2,1,3,3,4,3,2,1,1,2,2,2,2,4,1,2,1,2,3,1,2,1,4,3,1,1,1,2,4,3,4,2,2,2,1,4,1,2,3
